"","word","sentiment","value"
"1","abuse","negative",-3
"2","abused","negative",-3
"3","abuses","negative",-3
"4","abusive","negative",-3
"5","acrimonious","negative",-3
"6","admire","positive",3
"7","admiring","positive",3
"8","adorable","positive",3
"9","adore","positive",3
"10","adored","positive",3
"11","affection","positive",3
"12","affectionate","positive",3
"13","agonize","negative",-3
"14","agonizing","negative",-3
"15","amazing","positive",4
"16","amuse","positive",3
"17","anger","negative",-3
"18","angry","negative",-3
"19","anguish","negative",-3
"20","apathetic","negative",-3
"21","apathy","negative",-3
"22","astound","positive",3
"23","astounded","positive",3
"24","astounding","positive",3
"25","astoundingly","positive",3
"26","audacious","negative",3
"27","award","positive",3
"28","awarded","positive",3
"29","awards","positive",3
"30","awesome","positive",4
"31","awful","negative",-3
"32","bad","negative",-3
"33","badly","negative",-3
"34","bankrupt","negative",-3
"35","bastard","negative",-5
"36","bastards","negative",-5
"37","beautiful","positive",3
"38","beautifully","positive",3
"39","beautify","positive",3
"40","beloved","positive",3
"41","best","positive",3
"42","betray","negative",-3
"43","betrayal","negative",-3
"44","betraying","negative",-3
"45","betrays","negative",-3
"46","bitch","negative",-5
"47","blessing","positive",3
"48","bliss","positive",3
"49","blissful","positive",3
"50","blockbuster","positive",3
"51","bloody","negative",-3
"52","boring","negative",-3
"53","breakthrough","positive",3
"54","breathtaking","positive",5
"55","brilliant","positive",4
"56","bullshit","negative",-4
"57","catastrophe","negative",-3
"58","catastrophic","negative",-4
"59","celebrate","positive",3
"60","celebrated","positive",3
"61","charm","positive",3
"62","charming","positive",3
"63","chastise","negative",-3
"64","cheat","negative",-3
"65","cheated","negative",-3
"66","cheater","negative",-3
"67","cheats","negative",-3
"68","cheery","positive",3
"69","classy","positive",3
"70","conspiracy","negative",-3
"71","crap","negative",-3
"72","crime","negative",-3
"73","criminal","negative",-3
"74","crisis","negative",-3
"75","cruel","negative",-3
"76","cruelty","negative",-3
"77","cunt","negative",-5
"78","damage","negative",-3
"79","damages","negative",-3
"80","damn","negative",-4
"81","damned","negative",-4
"82","dead","negative",-3
"83","deceit","negative",-3
"84","deceitful","negative",-3
"85","deceive","negative",-3
"86","deceiving","negative",-3
"87","deception","negative",-3
"88","defect","negative",-3
"89","defects","negative",-3
"90","delight","positive",3
"91","delighted","positive",3
"92","despair","negative",-3
"93","despairing","negative",-3
"94","desperate","negative",-3
"95","desperately","negative",-3
"96","despondent","negative",-3
"97","destroy","negative",-3
"98","destruction","negative",-3
"99","destructive","negative",-3
"100","dick","negative",-4
"101","die","negative",-3
"102","died","negative",-3
"103","dire","negative",-3
"104","disastrous","negative",-3
"105","disgust","negative",-3
"106","disgusted","negative",-3
"107","disgusting","negative",-3
"108","distrust","negative",-3
"109","distrustful","negative",-3
"110","douchebag","negative",-3
"111","dreadful","negative",-3
"112","dumb","negative",-3
"113","ecstatic","positive",4
"114","elated","positive",3
"115","elation","positive",3
"116","enrapture","positive",3
"117","enthral","positive",3
"118","enthusiastic","positive",3
"119","euphoria","positive",3
"120","euphoric","positive",4
"121","evil","negative",-3
"122","excellence","positive",3
"123","excellent","positive",3
"124","excite","positive",3
"125","excited","positive",3
"126","excitement","positive",3
"127","exciting","positive",3
"128","exhilarating","positive",3
"129","exuberant","positive",4
"130","exultant","positive",3
"131","fabulous","positive",4
"132","faithful","positive",3
"133","fake","negative",-3
"134","falsify","negative",-3
"135","fantastic","positive",4
